0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:45:16 +0900] "GET /gtg/board/boardHome.do HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:45:16 +0900] "GET /gtg/board/bpage.do?cnt=1&pcnt=3.6 HTTP/1.1" 200 6473
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:45:19 +0900] "GET /gtg/board/bdel.do?bid=3&bname=q HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:45:19 +0900] "GET /gtg/board/boardHome.do HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:45:19 +0900] "GET /gtg/board/bpage.do?cnt=1&pcnt=3.5 HTTP/1.1" 200 6461
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:45:22 +0900] "GET /gtg/board/bdel.do?bid=k&bname=k HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:45:22 +0900] "GET /gtg/board/boardHome.do HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:45:22 +0900] "GET /gtg/board/bpage.do?cnt=1&pcnt=3.4 HTTP/1.1" 200 6449
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:45:25 +0900] "GET /gtg/login/mypage.do HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [25/Jan/2020:00:45:29 +0900] "GET /gtg/admin/adminHome.do HTTP/1.1" 200 1829
